Points:0,Points:1,Points:2,vtkOriginalIndices
1.09611,-0.684978,0,891
1.07973,-0.592247,0,892
1.06536,-0.510905,0,893
1.05275,-0.439552,0,894
1.04169,-0.376961,0,895
1.03199,-0.322057,0,896
1.02348,-0.273896,0,897
1.01602,-0.231649,0,898
1.00947,-0.194591,0,899
1.00373,-0.162083,0,900
0.998689,-0.133568,0,901
0.99427,-0.108554,0,902
0.990393,-0.0866128,0,903
0.986993,-0.0673657,0,904
0.98401,-0.0504823,0,905
0.981393,-0.0356724,0,906
0.979098,-0.0226811,0,907
0.977084,-0.0112853,0,908
0.975318,-0.00128902,0,909
1.54812,-3.5,0,910
1.51527,-3.30767,0,911
1.48241,-3.11534,0,912
1.44956,-2.92301,0,913
1.4167,-2.73069,0,914
1.38385,-2.53836,0,915
1.35099,-2.34603,0,916
1.31814,-2.1537,0,917
1.28528,-1.96137,0,918
1.25243,-1.76904,0,919
1.21957,-1.57671,0,920
1.18672,-1.38438,0,921
1.15622,-1.20589,0,922
